Sexe,Prénom,Nom,Email,Téléphone,Ville,Domaine,Niveau d'expérience,Formation,Expériences,Langues,Compétences
f,henriette,salmon,henriette.salmon@ifrance.com,0230241482,malletboeuf,finance & comptabilité,junior,master - léger (2023),jacob normand s.a.s. | chargé finance & comptabilité | 2020 - 2024 | moulin | chargé finance & comptabilité | 2015 - 2018 | rivière | chargé finance & comptabilité | 2021 - 2024,allemand,"analyse financière, comptabilité, gestion de projet, audit, excel"
f,laetitia,meyer,laetitia.meyer@yahoo.fr,02 32 03 70 50,saint claudine,assistance virtuelle,intermédiaire,licence - bouvet lebon et fils (2011),teixeira s.a.r.l. | directeur assistance virtuelle | 2018 - 2024 | samson sa | directeur assistance virtuelle | 2020 - 2023 | dias s.a.s. | adjoint assistance virtuelle | 2015 - 2023,"arabe, français, anglais","traitement d'e-mails, gestion de projets, gestion d'agenda et de calendriers, service client"
m,théodore,marques,théodore.marques@ifrance.com,0519762151,sainte monique,assistance virtuelle,junior,licence - bigot (2015),millet bailly et fils | directeur assistance virtuelle | 2015 - 2022 | fischer | adjoint assistance virtuelle | 2016 - 2020,"chinois, français","traitement d'e-mails, gestion de projets, service client"
m,thomas,gallet,thomas.gallet@tele2.fr,04 11 74 13 09,charpentier,ingénierie,junior,bts - guérin (2022),dupré | directeur ingénierie | 2018 - 2021,"allemand, anglais","mathématiques, descentes, cao, analyse technique, innovation, robotique"
m,antoine,garnier,antoine.garnier@tele2.fr,0323665048,klein,marketing,expert,école de commerce - leconte bouvet s.a.s. (2010),le goff | responsable marketing | 2015 - 2024 | foucher gillet s.a. | chargé marketing | 2023 - 2023 | benoit | responsable marketing | 2019 - 2023,anglais,"stratégie digitale, community management, seo, communication, analytics"
f,noémi,lemonnier,noémi.lemonnier@gmail.com,+33 3 80 55 36 31,saint alexandrenec,informatique,débutant,bts - cordier delannoy s.a.r.l. (2019),joseph | adjoint informatique | 2020 - 2021 | lesage | directeur informatique | 2021 - 2022 | robin garcia s.a.r.l. | responsable informatique | 2024 - 2024,"espagnol, arabe, allemand","flutter, python, reactjs, java, machine learning, cybersécurité"
m,rémy,michel,rémy.michel@club-internet.fr,+33 (0)2 37 40 90 49,courtois-sur-blanchet,finance & comptabilité,intermédiaire,bts - arnaud (2021),verdier | directeur finance & comptabilité | 2019 - 2019 | perrot sarl | adjoint finance & comptabilité | 2021 - 2023 | regnier | responsable finance & comptabilité | 2023 - 2024,"allemand, anglais, français","comptabilité, excel, analyse financière, audit, gestion de projet"
m,bertrand,collin,bertrand.collin@voila.fr,+33 (0)2 69 92 21 54,lefortbourg,ingénierie,expert,licence - gosselin s.a.s. (2012),barbe | adjoint ingénierie | 2024 - 2024 | aubry | directeur ingénierie | 2020 - 2023 | faure | responsable ingénierie | 2017 - 2020,"arabe, allemand, français","innovation, descentes, mathématiques, analyse technique"
f,henriette,techer,henriette.techer@free.fr,02 47 16 75 40,gomes,economie,intermédiaire,doctorat - bertin (2019),dufour sarl | directeur economie | 2018 - 2018 | leroux | responsable economie | 2023 - 2023 | colin s.a.r.l. | chargé economie | 2023 - 2024,"italien, allemand, anglais","statistiques, rédaction de rapports économiques, analyse de données économiques, politiques monétaires et fiscales"
f,nathalie,masse,nathalie.masse@orange.fr,+33 (0)1 40 82 78 62,tessier,journalisme,expert,formation professionnelle - gomes sarl (2011),thierry pinto s.a. | responsable journalisme | 2023 - 2024,"italien, allemand, arabe","reportages, rédaction d'articles, storytelling et narration visuelle, techniques d'interview"
m,stéphane,nicolas,stéphane.nicolas@tiscali.fr,06 89 95 34 97,gomez,informatique,junior,dut - fleury (2013),weiss | adjoint informatique | 2023 - 2023,"chinois, allemand, italien","linux, reactjs, tensorflow, cybersécurité, python"
f,catherine,pottier,catherine.pottier@ifrance.com,+33 (0)3 23 36 83 35,lemairedan,finance & comptabilité,junior,master - chrétien (2010),lebon et fils | directeur finance & comptabilité | 2020 - 2021,"français, espagnol","comptabilité, analyse financière, gestion de projet"
f,adélaïde,lemoine,adélaïde.lemoine@tiscali.fr,+33 (0)5 35 92 81 25,couturier,informatique,senior,école d'ingénieur - grondin (2017),couturier | directeur informatique | 2022 - 2024 | traore samson s.a.s. | directeur informatique | 2021 - 2024 | de oliveira | chargé informatique | 2019 - 2024,"portugais, français, chinois","java, cybersécurité, angularjs, reactjs, mongodb, tensorflow"
m,victor,renard,victor.renard@voila.fr,05 33 99 95 86,rollandbourg,ingénierie,senior,bts - meunier (2012),david | responsable ingénierie | 2024 - 2024 | rolland | directeur ingénierie | 2023 - 2024,chinois,"innovation, analyse technique, gestion de projet, cao, mathématiques"
m,rené,fontaine,rené.fontaine@gmail.com,+33 4 93 71 56 44,schmitt,marketing,intermédiaire,master - ruiz (2024),gomez sarl | chargé marketing | 2017 - 2018 | martin sa | chargé marketing | 2023 - 2024 | gaudin | adjoint marketing | 2021 - 2021,anglais,"seo, community management, analytics, stratégie digitale"
m,isaac,louis,isaac.louis@laposte.net,+33 (0)2 56 14 56 94,samson,communication,senior,école d'ingénieur - bruneau (2023),rodriguez thibault s.a.r.l. | directeur communication | 2022 - 2023,"portugais, arabe, allemand","gestion de crise et communication d'urgence, maîtrise des réseaux sociaux, outils de communication, edition de contenu"
f,henriette,pinto,henriette.pinto@live.com,02 48 46 00 51,saint victor,géologie,senior,licence - thierry alexandre s.a.r.l. (2015),dupuis | responsable géologie | 2018 - 2019 | jacob | directeur géologie | 2018 - 2022 | rodriguez besnard s.a. | directeur géologie | 2016 - 2024,"anglais, espagnol","sondage et forage, stratigraphie et tectonique, analyse géochimique, logiciels de cartographie"
f,véronique,lefèvre,véronique.lefèvre@ifrance.com,+33 6 32 90 23 08,mathieu,marketing,senior,formation professionnelle - alves (2012),langlois s.a. | chargé marketing | 2015 - 2017 | ferreira goncalves s.a.r.l. | directeur marketing | 2023 - 2023,"chinois, arabe, français","community management, stratégie digitale, analytics, communication, seo"
m,gabriel,sauvage,gabriel.sauvage@voila.fr,+33 (0)5 33 09 56 63,sainte océane,communication,intermédiaire,bts - brunel sa (2023),david dias sarl | chargé communication | 2022 - 2024 | andre wagner s.a. | adjoint communication | 2017 - 2024,"italien, anglais, arabe","gestion de crise et communication d'urgence, outils de communication, maîtrise des réseaux sociaux"
f,suzanne,maréchal,suzanne.maréchal@dbmail.com,+33 (0)4 27 50 61 21,lelièvreville,météorologie,intermédiaire,école de commerce - bonneau petit sarl (2013),rousseau | directeur météorologie | 2020 - 2024,"chinois, italien","cartes météorologiques, modèles de prévision, instruments de mesure météorologique, logiciels d'analyse climatique"
m,roger,guillou,roger.guillou@noos.fr,+33 (0)3 22 41 17 06,saint nicolas,météorologie,expert,licence - vallée (2018),bouvet charpentier sarl | directeur météorologie | 2023 - 2024 | diaz sa | adjoint météorologie | 2019 - 2021 | perrin | chargé météorologie | 2020 - 2020,"français, arabe, anglais","modèles de prévision, instruments de mesure météorologique, logiciels d'analyse climatique, cartes météorologiques"
f,adrienne,girard,adrienne.girard@orange.fr,0492456674,le roux-sur-lefort,journalisme,expert,école d'ingénieur - gay s.a. (2023),gaillard | chargé journalisme | 2024 - 2024 | schmitt poulain s.a.r.l. | directeur journalisme | 2016 - 2021,"espagnol, allemand, portugais","reportages, rédaction d'articles, techniques d'interview, storytelling et narration visuelle"
f,michèle,gilles,michèle.gilles@free.fr,+33 (0)2 50 91 36 31,sainte guy,commercial,expert,dut - petit fischer s.a.r.l. (2021),perrier | adjoint commercial | 2015 - 2020 | de oliveira sarl | directeur commercial | 2018 - 2019 | maillet sarl | directeur commercial | 2017 - 2019,"italien, portugais, français","négociation, stratégie commerciale, prospection"
m,thomas,carlier,thomas.carlier@voila.fr,0352856648,noëlboeuf,logistique,débutant,master - lebrun s.a.s. (2016),tessier | adjoint logistique | 2016 - 2019,"anglais, espagnol","gestion de stocks, gestion des fournisseurs, règlementations en transport et logistique, chaîne d'approvisionnement"
f,célina,girard,célina.girard@hotmail.fr,0456683359,leblanc,communication,expert,école d'ingénieur - lebreton laporte sarl (2019),hoareau | responsable communication | 2016 - 2021 | jacquot | adjoint communication | 2020 - 2022 | rodrigues | adjoint communication | 2021 - 2021,"anglais, portugais, italien","outils de communication, edition de contenu, maîtrise des réseaux sociaux, gestion de crise et communication d'urgence"
f,aurore,briand,aurore.briand@yahoo.fr,0582403581,guibert,géologie,intermédiaire,bts - lopes laine s.a.r.l. (2010),daniel | adjoint géologie | 2016 - 2021 | fournier | chargé géologie | 2015 - 2017,portugais,"analyse géochimique, logiciels de cartographie, stratigraphie et tectonique, sondage et forage"
f,sophie,pichon,sophie.pichon@orange.fr,0250424799,huet,ressources humaines,senior,formation professionnelle - perrier le goff et fils (2010),petit guilbert s.a. | responsable ressources humaines | 2019 - 2021 | laroche | adjoint ressources humaines | 2023 - 2024 | lecoq | chargé ressources humaines | 2018 - 2021,"arabe, allemand, chinois","formation, droit du travail, recrutement, gestion d'équipe"
m,guy,thibault,guy.thibault@orange.fr,0253368349,le roux-sur-bertrand,informatique,senior,bts - tessier léger s.a.s. (2018),dupuy s.a.s. | chargé informatique | 2019 - 2022 | dos santos | responsable informatique | 2023 - 2024,"chinois, anglais, portugais","cloud, mongodb, reactjs, cybersécurité"
f,nath,lombard,nath.lombard@orange.fr,04 34 01 97 11,saint éliseville,éducation,intermédiaire,dut - chauvin (2019),barbier | chargé éducation | 2022 - 2023 | roche | adjoint éducation | 2016 - 2019,chinois,"gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
f,michelle,lucas,michelle.lucas@yahoo.fr,0596725489,toussaint,logistique,junior,bts - sanchez (2018),vidal s.a.r.l. | adjoint logistique | 2021 - 2023 | duval gilles sa | directeur logistique | 2019 - 2021 | jacquet | directeur logistique | 2015 - 2023,"français, portugais","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,grégoire,bouvier,grégoire.bouvier@voila.fr,+33 4 74 12 03 22,sainte henriette,informatique,expert,école de commerce - leroux alves s.a. (2011),gaillard s.a.r.l. | adjoint informatique | 2016 - 2024 | gay s.a.r.l. | adjoint informatique | 2024 - 2024,"anglais, espagnol, français","reactjs, python, sql, machine learning"
f,olivie,didier,olivie.didier@laposte.net,0140963999,jean,météorologie,senior,doctorat - delaunay richard et fils (2014),barbier | adjoint météorologie | 2017 - 2021 | leclercq guillot s.a.s. | adjoint météorologie | 2023 - 2023,"arabe, italien, allemand","instruments de mesure météorologique, logiciels d'analyse climatique, modèles de prévision, cartes météorologiques"
f,françoise,guyot,françoise.guyot@live.com,+33 1 76 65 24 47,saint aurore,commercial,intermédiaire,formation professionnelle - lebreton (2022),gomes lambert s.a. | responsable commercial | 2019 - 2024,"anglais, espagnol","prospection, négociation, relation client, stratégie commerciale"
f,maggie,descamps,maggie.descamps@bouygtel.fr,0468687563,auger-les-bains,logistique,senior,école d'ingénieur - lombard s.a.s. (2019),jacquot | chargé logistique | 2023 - 2023 | morvan | adjoint logistique | 2024 - 2024,"anglais, espagnol, italien","gestion de stocks, règlementations en transport et logistique, gestion des fournisseurs"
f,monique,le gall,monique.le gall@club-internet.fr,+33 (0)3 84 33 85 31,hernandez,ressources humaines,intermédiaire,bts - dos santos (2018),bonneau | responsable ressources humaines | 2019 - 2023 | guillet becker sarl | responsable ressources humaines | 2023 - 2024,"allemand, anglais, espagnol","formation, recrutement, gestion d'équipe, droit du travail"
m,charles,laporte,charles.laporte@orange.fr,+33 (0)3 68 70 88 70,colas,géologie,expert,licence - leduc (2017),bruneau et fils | responsable géologie | 2016 - 2017,italien,"sondage et forage, analyse géochimique, stratigraphie et tectonique, logiciels de cartographie"
m,benoît,jacques,benoît.jacques@sfr.fr,01 77 09 49 71,costa-sur-gonzalez,ressources humaines,intermédiaire,licence - tessier (2021),le gall s.a.r.l. | directeur ressources humaines | 2018 - 2021,"portugais, espagnol","recrutement, formation, droit du travail, gestion d'équipe"
f,bernadette,wagner,bernadette.wagner@sfr.fr,02 58 34 10 46,sainte alfreddan,santé,junior,licence - lebreton diaz s.a.s. (2014),gauthier perrin et fils | chargé santé | 2020 - 2023 | rey | adjoint santé | 2023 - 2023 | pons | adjoint santé | 2017 - 2020,français,"recherche, analyse médicale, gestion de patient, diagnostic"
f,audrey,thibault,audrey.thibault@sfr.fr,0324128300,pascal,design,débutant,école d'ingénieur - buisson (2011),besson sarl | responsable design | 2015 - 2017 | chartier leduc s.a.r.l. | directeur design | 2022 - 2023,"français, anglais, allemand","design thinking, ui/ux, photoshop, illustrator"
f,frédérique,blondel,frédérique.blondel@wanadoo.fr,0320597633,collin-sur-lambert,météorologie,junior,licence - robert bertrand s.a.r.l. (2016),rousset | directeur météorologie | 2015 - 2024 | guillot | directeur météorologie | 2021 - 2024 | perret mathieu sarl | chargé météorologie | 2018 - 2019,espagnol,"modèles de prévision, cartes météorologiques, logiciels d'analyse climatique, instruments de mesure météorologique"
m,olivier,lesage,olivier.lesage@ifrance.com,03 89 94 30 98,baron,economie,junior,école de commerce - picard (2022),jourdan | chargé economie | 2020 - 2022,"français, allemand, portugais","politiques monétaires et fiscales, rédaction de rapports économiques, analyse de données économiques"
f,michèle,bernard,michèle.bernard@live.com,0339228674,bonneaunec,géologie,junior,formation professionnelle - jacquot sa (2023),leconte guillou sa | adjoint géologie | 2022 - 2023,"portugais, italien, chinois","sondage et forage, analyse géochimique, stratigraphie et tectonique, logiciels de cartographie"
f,jacqueline,nicolas,jacqueline.nicolas@noos.fr,0633650156,gonzalez,economie,intermédiaire,école d'ingénieur - petitjean (2010),guichard sa | directeur economie | 2021 - 2022,chinois,"analyse de données économiques, politiques monétaires et fiscales, rédaction de rapports économiques, statistiques"
m,antoine,georges,antoine.georges@club-internet.fr,0671371161,cordier,météorologie,intermédiaire,dut - didier (2013),lemaire cohen et fils | responsable météorologie | 2016 - 2022 | duval roger s.a. | directeur météorologie | 2018 - 2022 | techer | directeur météorologie | 2018 - 2020,"allemand, italien","logiciels d'analyse climatique, modèles de prévision, cartes météorologiques"
f,luce,charpentier,luce.charpentier@laposte.net,0804465294,maillardbourg,météorologie,junior,bts - maury voisin s.a.s. (2018),renard | directeur météorologie | 2022 - 2023 | garcia | adjoint météorologie | 2024 - 2024,"arabe, français","instruments de mesure météorologique, cartes météorologiques, logiciels d'analyse climatique, modèles de prévision"
f,margot,fournier,margot.fournier@bouygtel.fr,+33 4 49 34 77 10,parent,assistance virtuelle,expert,licence - chauvet s.a.r.l. (2021),léger et fils | directeur assistance virtuelle | 2020 - 2020 | gomes | directeur assistance virtuelle | 2019 - 2022 | lemonnier s.a. | responsable assistance virtuelle | 2014 - 2016,"arabe, anglais","gestion d'agenda et de calendriers, service client, traitement d'e-mails, gestion de projets"
f,nath,le goff,nath.le goff@dbmail.com,0355620845,nicolasbourg,marketing,débutant,master - roy dupuis s.a. (2018),meunier | chargé marketing | 2021 - 2022 | collin | chargé marketing | 2024 - 2024,"italien, allemand, anglais","analytics, seo, stratégie digitale"
m,pierre,grenier,pierre.grenier@voila.fr,0536590055,sainte éléonore-la-forêt,météorologie,intermédiaire,bts - buisson lelièvre s.a.r.l. (2024),humbert petitjean sa | responsable météorologie | 2015 - 2024 | chevallier collin et fils | chargé météorologie | 2024 - 2024 | legrand | responsable météorologie | 2017 - 2017,"allemand, français, anglais","logiciels d'analyse climatique, instruments de mesure météorologique, modèles de prévision, cartes météorologiques"
m,philippe,fischer,philippe.fischer@live.com,+33 5 90 97 73 58,royboeuf,géologie,junior,formation professionnelle - jean lenoir s.a.r.l. (2012),legrand | responsable géologie | 2018 - 2024 | guilbert | responsable géologie | 2020 - 2021 | perrier s.a.s. | directeur géologie | 2017 - 2023,français,"stratigraphie et tectonique, logiciels de cartographie, analyse géochimique, sondage et forage"
m,guillaume,bourgeois,guillaume.bourgeois@gmail.com,0172509096,garnier,ressources humaines,expert,doctorat - raymond brunet s.a. (2022),mathieu sa | chargé ressources humaines | 2022 - 2023 | roux | chargé ressources humaines | 2017 - 2021,allemand,"formation, droit du travail, recrutement, gestion d'équipe"
m,théodore,launay,théodore.launay@gmail.com,0358968542,sainte luc-sur-mer,météorologie,senior,école de commerce - blanchet (2019),hervé sarl | directeur météorologie | 2016 - 2021 | coulon legendre sa | directeur météorologie | 2024 - 2024,portugais,"modèles de prévision, logiciels d'analyse climatique, instruments de mesure météorologique"
f,marine,nicolas,marine.nicolas@tele2.fr,03 73 58 83 85,ferrand-les-bains,design,débutant,licence - normand s.a.s. (2021),alexandre fischer s.a.r.l. | directeur design | 2023 - 2024 | hubert weiss sarl | adjoint design | 2019 - 2021 | benoit paul s.a.r.l. | adjoint design | 2020 - 2020,portugais,"photoshop, illustrator, design thinking"
f,inès,pasquier,inès.pasquier@voila.fr,0426593595,menard,journalisme,junior,école d'ingénieur - vincent (2016),maillard | chargé journalisme | 2019 - 2024 | rodriguez sa | responsable journalisme | 2022 - 2022 | pinto | chargé journalisme | 2022 - 2022,"français, espagnol, arabe","reportages, techniques d'interview, rédaction d'articles"
f,paulette,wagner,paulette.wagner@club-internet.fr,06 31 74 42 16,lecomte-sur-charpentier,éducation,expert,bts - blot (2013),vallet | responsable éducation | 2022 - 2022 | rousseau sarl | chargé éducation | 2020 - 2021 | rémy moreno s.a.s. | adjoint éducation | 2016 - 2022,"espagnol, chinois, français","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,richard,monnier,richard.monnier@tele2.fr,0519126663,saint daviddan,economie,débutant,licence - paris sa (2015),pierre sa | chargé economie | 2021 - 2023,allemand,"statistiques, rédaction de rapports économiques, politiques monétaires et fiscales, analyse de données économiques"
m,antoine,rodrigues,antoine.rodrigues@dbmail.com,0482948279,maurice,informatique,senior,formation professionnelle - devaux maillet sarl (2017),aubert | adjoint informatique | 2017 - 2023 | blondel | chargé informatique | 2024 - 2024,"français, espagnol, allemand","python, reactjs, flutter, angularjs"
f,alexandrie,sauvage,alexandrie.sauvage@tele2.fr,+33 5 19 22 99 95,faurebourg,ressources humaines,junior,bts - lévy (2018),texier | adjoint ressources humaines | 2023 - 2024 | bouchet | responsable ressources humaines | 2022 - 2023 | cordier dufour sa | adjoint ressources humaines | 2016 - 2024,"anglais, français","recrutement, gestion d'équipe, formation, droit du travail"
f,adèle,rossi,adèle.rossi@laposte.net,0638586326,delattreboeuf,ingénierie,expert,formation professionnelle - marchand (2017),boyer | responsable ingénierie | 2020 - 2024 | lesage | responsable ingénierie | 2024 - 2024,"chinois, italien, anglais","innovation, cao, gestion de projet, analyse technique, mathématiques, robotique"
m,henri,berthelot,henri.berthelot@bouygtel.fr,02 85 44 55 00,delmasbourg,finance & comptabilité,expert,école de commerce - joubert baron et fils (2013),charpentier sa | chargé finance & comptabilité | 2015 - 2022 | lemoine et fils | adjoint finance & comptabilité | 2022 - 2024 | mahe | adjoint finance & comptabilité | 2018 - 2019,arabe,"audit, excel, comptabilité, gestion de projet, analyse financière"
m,édouard,ollivier,édouard.ollivier@free.fr,0358167343,michel,éducation,débutant,école d'ingénieur - jacquot sarl (2010),maillot | responsable éducation | 2016 - 2019 | blanc diallo et fils | chargé éducation | 2022 - 2023,"chinois, allemand, italien","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,adrien,mary,adrien.mary@hotmail.fr,+33 5 57 36 04 62,sainte maryseboeuf,journalisme,intermédiaire,dut - rossi tessier s.a.r.l. (2010),lebreton s.a.s. | responsable journalisme | 2020 - 2023 | da silva s.a.r.l. | directeur journalisme | 2020 - 2021,portugais,"reportages, techniques d'interview, rédaction d'articles, storytelling et narration visuelle"
m,théodore,meyer,théodore.meyer@bouygtel.fr,04 81 40 82 72,saint julesdan,design,senior,bts - thibault (2020),barthelemy barthelemy sa | directeur design | 2015 - 2023,italien,"photoshop, ui/ux, design thinking, illustrator"
f,geneviève,bègue,geneviève.bègue@laposte.net,+33 5 19 59 98 03,da silva,santé,junior,école d'ingénieur - descamps (2018),pichon | responsable santé | 2016 - 2019 | baron | chargé santé | 2018 - 2023,"anglais, espagnol, allemand","gestion de patient, analyse médicale, diagnostic, recherche"
m,thomas,muller,thomas.muller@orange.fr,0182374286,marchanddan,assistance virtuelle,intermédiaire,doctorat - garcia sa (2022),de sousa | adjoint assistance virtuelle | 2015 - 2021 | martel | adjoint assistance virtuelle | 2023 - 2024 | poirier | adjoint assistance virtuelle | 2018 - 2023,portugais,"gestion d'agenda et de calendriers, traitement d'e-mails, gestion de projets, service client"
f,lorraine,lefèvre,lorraine.lefèvre@free.fr,+33 4 58 16 24 72,faure-sur-pinto,santé,intermédiaire,école de commerce - marchal sarl (2017),marion | directeur santé | 2016 - 2019 | guilbert | responsable santé | 2022 - 2024 | pottier sa | chargé santé | 2015 - 2023,"allemand, italien","analyse médicale, gestion de patient, recherche"
m,bertrand,gérard,bertrand.gérard@free.fr,06 35 01 79 52,menard,ressources humaines,expert,master - rodrigues (2011),colas et fils | chargé ressources humaines | 2015 - 2024,"chinois, portugais","gestion d'équipe, droit du travail, formation, recrutement"
m,david,valette,david.valette@voila.fr,+33 (0)2 56 26 31 44,joseph-la-forêt,commercial,intermédiaire,master - meyer (2022),pereira et fils | responsable commercial | 2021 - 2022 | fleury roger s.a.s. | adjoint commercial | 2017 - 2020,allemand,"prospection, négociation, stratégie commerciale"
m,françois,peltier,françois.peltier@yahoo.fr,+33 4 92 52 60 31,sainte sabineville,commercial,senior,formation professionnelle - bouvet (2018),dumont | directeur commercial | 2018 - 2023,"portugais, arabe, allemand","négociation, prospection, relation client, stratégie commerciale"
f,gabrielle,robert,gabrielle.robert@noos.fr,02 52 90 41 91,carlier,ressources humaines,senior,école d'ingénieur - godard (2020),fernandez garcia sa | chargé ressources humaines | 2018 - 2018 | gillet | adjoint ressources humaines | 2019 - 2021,"italien, espagnol, chinois","droit du travail, recrutement, gestion d'équipe, formation"
f,lucie,pereira,lucie.pereira@wanadoo.fr,+33 3 89 56 67 17,peltier,marketing,débutant,dut - rolland (2016),bègue hardy s.a. | adjoint marketing | 2020 - 2022 | gaudin | responsable marketing | 2019 - 2019 | roussel | responsable marketing | 2020 - 2022,arabe,"analytics, stratégie digitale, community management"
f,océane,menard,océane.menard@bouygtel.fr,0474347186,saint joséphine,finance & comptabilité,junior,master - millet (2013),meunier colin s.a.r.l. | responsable finance & comptabilité | 2016 - 2022 | hubert s.a.r.l. | adjoint finance & comptabilité | 2018 - 2020,"arabe, espagnol, anglais","comptabilité, audit, analyse financière"
f,nathalie,camus,nathalie.camus@ifrance.com,+33 (0)2 36 78 27 55,saint victoirenec,météorologie,junior,doctorat - david parent et fils (2019),thibault auger s.a. | chargé météorologie | 2021 - 2023 | delattre laine sarl | responsable météorologie | 2020 - 2023,"allemand, français, anglais","instruments de mesure météorologique, modèles de prévision, logiciels d'analyse climatique, cartes météorologiques"
m,eugène,klein,eugène.klein@free.fr,0261523719,michelbourg,marketing,senior,bts - leconte (2013),lebrun briand sa | directeur marketing | 2016 - 2021,"allemand, arabe, chinois","seo, communication, analytics, community management, stratégie digitale"
f,andrée,barre,andrée.barre@bouygtel.fr,+33 2 33 63 67 87,michaud,météorologie,débutant,doctorat - lefèvre (2021),bonneau | adjoint météorologie | 2021 - 2023 | voisin sarl | directeur météorologie | 2020 - 2022 | costa | directeur météorologie | 2017 - 2018,anglais,"logiciels d'analyse climatique, instruments de mesure météorologique, modèles de prévision, cartes météorologiques"
m,guy,giraud,guy.giraud@tele2.fr,+33 3 51 34 78 81,meunier,communication,intermédiaire,licence - fernandez et fils (2016),guillon et fils | chargé communication | 2024 - 2024 | georges marchal s.a.r.l. | chargé communication | 2019 - 2021 | le gall s.a. | directeur communication | 2021 - 2024,"arabe, chinois, portugais","outils de communication, maîtrise des réseaux sociaux, gestion de crise et communication d'urgence, edition de contenu"
f,philippine,clément,philippine.clément@noos.fr,+33 5 64 74 40 41,pons,éducation,débutant,formation professionnelle - bernier s.a.r.l. (2019),leduc | directeur éducation | 2016 - 2023 | bourdon albert s.a.r.l. | chargé éducation | 2020 - 2024 | samson s.a.r.l. | directeur éducation | 2018 - 2021,"français, espagnol, arabe","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,martin,torres,martin.torres@wanadoo.fr,0532944273,aubert,finance & comptabilité,junior,bts - nicolas (2018),launay | chargé finance & comptabilité | 2018 - 2020,"arabe, chinois, portugais","comptabilité, audit, excel, analyse financière, gestion de projet"
f,stéphanie,delattre,stéphanie.delattre@bouygtel.fr,0262756701,rossi,design,débutant,dut - salmon muller s.a.r.l. (2023),guillot | chargé design | 2017 - 2024,"italien, espagnol, anglais","design thinking, illustrator, photoshop, ui/ux"
m,rené,lebon,rené.lebon@club-internet.fr,0736096013,saint anoukville,logistique,senior,doctorat - weiss sanchez et fils (2022),berger bonneau s.a.r.l. | directeur logistique | 2015 - 2015 | blot s.a. | chargé logistique | 2021 - 2021 | pelletier | responsable logistique | 2015 - 2019,"arabe, allemand","gestion des fournisseurs, règlementations en transport et logistique, gestion de stocks"
f,valérie,camus,valérie.camus@gmail.com,+33 2 50 90 51 64,parent,santé,junior,dut - martel (2016),le goff | directeur santé | 2022 - 2023 | legrand s.a.r.l. | directeur santé | 2018 - 2024 | guillot philippe s.a.r.l. | chargé santé | 2016 - 2024,"arabe, allemand","gestion de patient, analyse médicale, recherche, diagnostic"
m,matthieu,meyer,matthieu.meyer@orange.fr,+33 (0)2 41 22 66 73,gomeznec,finance & comptabilité,junior,bts - bertrand s.a. (2021),rodriguez | chargé finance & comptabilité | 2015 - 2019,"anglais, allemand","comptabilité, excel, analyse financière, audit, gestion de projet"
m,grégoire,gaudin,grégoire.gaudin@bouygtel.fr,0486465031,riou,communication,junior,bts - rousseau (2024),martins paul sarl | chargé communication | 2015 - 2016 | fischer | chargé communication | 2022 - 2024,"allemand, arabe, italien","outils de communication, gestion de crise et communication d'urgence, maîtrise des réseaux sociaux"
f,lorraine,potier,lorraine.potier@tiscali.fr,02 36 54 08 16,pereira-sur-mer,informatique,senior,école d'ingénieur - baudry lamy et fils (2021),masse | chargé informatique | 2021 - 2024,italien,"python, tensorflow, cloud, java, reactjs, cybersécurité"
f,margot,fabre,margot.fabre@yahoo.fr,+33 1 44 56 61 05,françois,éducation,expert,formation professionnelle - bouchet potier sarl (2023),martinez letellier sa | adjoint éducation | 2023 - 2024 | lebon boucher sarl | adjoint éducation | 2023 - 2024,"français, chinois, portugais","gestion des fournisseurs, gestion de stocks, chaîne d'approvisionnement, règlementations en transport et logistique"
m,georges,blot,georges.blot@laposte.net,0355798763,sainte thierry-les-bains,marketing,débutant,école de commerce - delaunay (2018),olivier mathieu s.a. | adjoint marketing | 2018 - 2019 | martel | adjoint marketing | 2020 - 2024,"italien, chinois","seo, community management, stratégie digitale, communication, analytics"
f,élodie,garnier,élodie.garnier@bouygtel.fr,+33 (0)1 69 04 24 84,barbier,journalisme,junior,formation professionnelle - rossi (2021),boucher | chargé journalisme | 2024 - 2024 | andre sa | directeur journalisme | 2020 - 2024 | hubert | chargé journalisme | 2019 - 2021,"espagnol, chinois","techniques d'interview, rédaction d'articles, reportages"
m,édouard,tessier,édouard.tessier@yahoo.fr,+33 (0)2 76 85 15 66,lebreton,assistance virtuelle,junior,formation professionnelle - lombard (2023),courtois bonneau s.a. | directeur assistance virtuelle | 2022 - 2022 | grenier laporte s.a.r.l. | directeur assistance virtuelle | 2022 - 2023,arabe,"service client, gestion d'agenda et de calendriers, gestion de projets"
m,gilbert,marion,gilbert.marion@voila.fr,+33 2 41 16 16 49,bertinnec,finance & comptabilité,expert,école d'ingénieur - martin sarl (2021),lefebvre richard s.a.r.l. | chargé finance & comptabilité | 2023 - 2023,"chinois, portugais","audit, analyse financière, gestion de projet"
